timestamp,x,y,scale
2023-08-01 20:33:28,150,547,2
2023-08-01 20:33:28,150,546,2
2023-08-01 20:33:28,150,545,2
2023-08-01 20:33:28,150,544,2
2023-08-01 20:33:28,150,543,2
2023-08-01 20:33:28,151,543,2
2023-08-01 20:33:28,151,542,2
2023-08-01 20:33:28,151,543,2
2023-08-01 20:33:28,153,543,2
2023-08-01 20:33:28,154,543,2
2023-08-01 20:33:30,155,542,2
2023-08-01 20:33:30,155,538,2
2023-08-01 20:33:30,155,532,2
2023-08-01 20:33:30,155,525,2
2023-08-01 20:33:30,154,517,2
2023-08-01 20:33:30,153,510,2
2023-08-01 20:33:30,152,503,2
2023-08-01 20:33:30,150,496,2
2023-08-01 20:33:30,148,490,2
2023-08-01 20:33:30,146,484,2
2023-08-01 20:33:30,144,479,2
2023-08-01 20:33:30,143,474,2
2023-08-01 20:33:30,142,470,2
2023-08-01 20:33:30,140,464,2
2023-08-01 20:33:30,139,459,2
2023-08-01 20:33:30,139,454,2
2023-08-01 20:33:30,138,450,2
2023-08-01 20:33:30,138,445,2
2023-08-01 20:33:30,138,442,2
2023-08-01 20:33:30,138,438,2
2023-08-01 20:33:30,138,435,2
2023-08-01 20:33:30,138,433,2
2023-08-01 20:33:30,137,430,2
2023-08-01 20:33:30,137,428,2
2023-08-01 20:33:30,137,426,2
2023-08-01 20:33:30,136,422,2
2023-08-01 20:33:30,136,421,2
2023-08-01 20:33:30,136,418,2
2023-08-01 20:33:30,136,415,2
2023-08-01 20:33:30,136,413,2
2023-08-01 20:33:30,136,409,2
2023-08-01 20:33:30,135,405,2
2023-08-01 20:33:30,135,402,2
2023-08-01 20:33:30,134,398,3
2023-08-01 20:33:30,133,394,3
2023-08-01 20:33:30,133,389,3
2023-08-01 20:33:30,132,384,3
2023-08-01 20:33:30,130,378,3
2023-08-01 20:33:30,129,373,3
2023-08-01 20:33:30,128,368,3
2023-08-01 20:33:30,127,361,3
2023-08-01 20:33:30,126,355,3
2023-08-01 20:33:30,125,348,3
2023-08-01 20:33:30,124,342,3
2023-08-01 20:33:30,123,336,3
2023-08-01 20:33:30,122,330,3
2023-08-01 20:33:30,121,326,3
2023-08-01 20:33:30,120,322,3
2023-08-01 20:33:30,120,318,3
2023-08-01 20:33:30,120,315,3
2023-08-01 20:33:30,119,310,3
2023-08-01 20:33:30,119,306,3
2023-08-01 20:33:31,119,303,3
2023-08-01 20:33:31,119,300,3
2023-08-01 20:33:31,119,296,3
2023-08-01 20:33:31,119,293,3
2023-08-01 20:33:31,119,290,3
2023-08-01 20:33:31,119,287,3
2023-08-01 20:33:31,119,284,3
2023-08-01 20:33:31,119,281,3
2023-08-01 20:33:31,120,277,3
2023-08-01 20:33:31,120,274,3
2023-08-01 20:33:31,120,270,3
2023-08-01 20:33:31,121,266,3
2023-08-01 20:33:31,121,263,3
2023-08-01 20:33:31,121,259,3
2023-08-01 20:33:31,121,253,3
2023-08-01 20:33:31,122,249,4
2023-08-01 20:33:31,123,242,4
2023-08-01 20:33:31,124,234,4
2023-08-01 20:33:31,125,227,4
2023-08-01 20:33:31,126,220,4
2023-08-01 20:33:31,126,213,4
2023-08-01 20:33:31,127,206,4
2023-08-01 20:33:31,127,198,4
2023-08-01 20:33:31,127,193,4
2023-08-01 20:33:31,127,188,4
2023-08-01 20:33:31,127,182,4
2023-08-01 20:33:31,127,178,4
2023-08-01 20:33:31,128,175,4
2023-08-01 20:33:31,128,172,4
2023-08-01 20:33:31,129,171,4
2023-08-01 20:33:31,129,169,4
2023-08-01 20:33:31,129,167,4
2023-08-01 20:33:31,130,166,4
2023-08-01 20:33:31,130,165,4
2023-08-01 20:33:31,131,164,4
2023-08-01 20:33:31,131,163,4
2023-08-01 20:33:31,131,162,4
2023-08-01 20:33:31,131,161,4
2023-08-01 20:33:31,131,160,4
2023-08-01 20:33:31,131,159,4
2023-08-01 20:33:31,132,159,4
2023-08-01 20:33:31,132,158,4
2023-08-01 20:33:31,132,157,4
2023-08-01 20:33:31,132,156,4
2023-08-01 20:33:31,132,155,4
2023-08-01 20:33:31,133,153,4
